,literal,stroke_count,grade,freq,jlpt
990,横,15,6.0,846.0,1.0
991,樹,16,3.0,1843.0,1.0
992,橋,16,4.0,220.0,1.0
993,機,16,8.0,2014.0,2.0
994,欄,20,4.0,1502.0,2.0
995,欠,4,3.0,908.0,2.0
996,次,6,8.0,704.0,2.0
997,欧,8,6.0,827.0,1.0
998,欲,11,8.0,71.0,1.0
999,欺,12,8.0,2020.0,2.0
1000,款,12,2.0,1271.0,2.0
1001,歌,14,8.0,929.0,2.0
1002,歓,15,2.0,1897.0,1.0
1003,止,4,1.0,1385.0,2.0
1004,正,5,5.0,296.0,1.0
1005,武,8,2.0,663.0,2.0
1006,歩,8,3.0,1709.0,2.0
1007,歯,12,8.0,690.0,2.0
1008,歳,13,5.0,109.0,3.0
1009,歴,14,3.0,1467.0,1.0
1010,死,6,8.0,1121.0,2.0
1011,殉,10,8.0,490.0,3.0
1012,殊,10,4.0,1086.0,3.0
1013,残,10,8.0,1233.0,1.0
1014,殖,12,8.0,2112.0,1.0
1015,殴,8,6.0,100.0,1.0
1016,段,9,5.0,1872.0,2.0
1017,殺,10,8.0,740.0,1.0
1018,殻,11,8.0,1380.0,2.0
1019,殿,13,8.0,1589.0,1.0
1020,毀,13,2.0,497.0,2.0
1021,母,5,2.0,1281.0,1.0
1022,毎,6,5.0,1223.0,1.0
1023,毒,8,5.0,763.0,2.0
1024,比,4,2.0,1168.0,2.0
1025,毛,4,4.0,1618.0,3.0
1026,氏,4,4.0,1036.0,1.0
1027,民,5,1.0,1778.0,2.0
1028,気,6,1.0,171.0,2.0
1029,水,4,3.0,164.0,1.0
1030,氷,5,5.0,280.0,2.0
1031,永,5,8.0,1383.0,2.0
1032,氾,5,8.0,1253.0,1.0
1033,汁,5,4.0,645.0,1.0
1034,求,7,8.0,1508.0,2.0
1035,汎,6,8.0,776.0,2.0
1036,汗,6,8.0,1136.0,1.0
1037,汚,6,8.0,200.0,2.0
1038,江,6,2.0,1447.0,1.0
1039,池,6,8.0,345.0,2.0
1040,汰,7,3.0,1381.0,1.0
1041,決,7,2.0,1525.0,1.0
1042,汽,7,8.0,1210.0,1.0
1043,沃,7,8.0,1783.0,2.0
1044,沈,7,4.0,1922.0,2.0
1045,沖,7,8.0,1436.0,1.0
1046,沙,7,8.0,484.0,2.0
1047,没,7,8.0,824.0,2.0
1048,沢,7,5.0,1501.0,2.0
1049,河,8,8.0,705.0,2.0
1050,沸,8,3.0,1944.0,1.0
1051,油,8,4.0,168.0,2.0
1052,治,8,8.0,499.0,2.0
1053,沼,8,6.0,1011.0,2.0
1054,沿,8,8.0,2063.0,2.0
1055,況,8,6.0,261.0,1.0
1056,泉,9,8.0,446.0,2.0
1057,泊,8,8.0,1789.0,1.0
1058,泌,8,4.0,838.0,2.0
1059,法,8,8.0,761.0,1.0
1060,泡,8,3.0,495.0,1.0
1061,波,8,4.0,1344.0,1.0
1062,泣,8,8.0,2070.0,1.0
1063,泥,8,3.0,1356.0,2.0
1064,注,8,8.0,545.0,2.0
1065,泰,10,3.0,1517.0,1.0
1066,泳,8,3.0,515.0,1.0
1067,洋,9,6.0,738.0,1.0
1068,洗,9,8.0,425.0,2.0
1069,洞,9,8.0,1736.0,1.0
1070,津,9,8.0,1364.0,3.0
1071,洪,9,2.0,1222.0,1.0
1072,活,9,6.0,1563.0,1.0
1073,派,9,3.0,1238.0,1.0
1074,流,10,8.0,1107.0,1.0
1075,浄,9,4.0,2019.0,1.0
1076,浅,9,8.0,1094.0,1.0
1077,浜,10,8.0,1492.0,1.0
1078,浪,10,8.0,1971.0,1.0
1079,浮,10,4.0,1298.0,1.0
1080,浴,10,2.0,267.0,2.0
1081,海,9,8.0,1611.0,1.0
1082,浸,10,3.0,1487.0,2.0
1083,消,10,8.0,1408.0,4.0
1084,涙,10,8.0,2115.0,2.0
1085,涯,11,5.0,1595.0,2.0
1086,液,11,8.0,1329.0,1.0
1087,涼,11,8.0,1644.0,1.0
1088,淑,11,8.0,1231.0,1.0
1089,淡,11,8.0,1722.0,1.0
1090,淫,11,3.0,560.0,2.0
1091,深,11,5.0,1883.0,2.0
1092,混,11,8.0,1200.0,1.0
1093,添,11,4.0,1698.0,1.0
1094,清,11,8.0,574.0,2.0
1095,渇,11,6.0,1605.0,1.0
1096,済,11,8.0,1717.0,2.0
1097,渉,11,8.0,976.0,2.0
1098,渋,11,8.0,1359.0,2.0
1099,渓,11,5.0,1777.0,2.0
1100,減,12,8.0,1242.0,1.0
1101,渡,12,8.0,1307.0,1.0
1102,渦,12,3.0,165.0,1.0
1103,温,12,5.0,831.0,2.0
1104,測,12,3.0,1397.0,2.0
1105,港,12,3.0,274.0,2.0
1106,湖,12,8.0,973.0,2.0
1107,湧,12,3.0,401.0,1.0
1108,湯,12,8.0,982.0,4.0
1109,湾,12,8.0,2458.0,1.0
1110,湿,12,4.0,1290.0,2.0
1111,満,12,6.0,1004.0,2.0
1112,源,13,5.0,2081.0,3.0
1113,準,13,8.0,1565.0,1.0
1114,溝,13,8.0,1415.0,3.0
1115,溶,13,8.0,700.0,1.0
1116,溺,13,8.0,948.0,3.0
1117,滅,13,4.0,1819.0,1.0
1118,滋,12,8.0,735.0,3.0
1119,滑,13,8.0,646.0,2.0
1120,滞,13,8.0,2333.0,2.0
1121,滴,14,4.0,1076.0,1.0
1122,漁,14,8.0,802.0,1.0
1123,漂,14,8.0,2067.0,2.0
1124,漆,14,8.0,1202.0,2.0
